GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CampusEventsAndEntertainmentCenter,com.team20.backend.controller,AvatarController,5,260,2,34,1,56,2,22,0,6
CampusEventsAndEntertainmentCenter,com.team20.backend.controller,EventController,32,648,11,63,1,125,11,44,2,16
CampusEventsAndEntertainmentCenter,com.team20.backend.controller,ReportController,0,122,0,14,0,20,0,13,0,6
CampusEventsAndEntertainmentCenter,com.team20.backend.controller,EmailController,59,19,6,0,13,5,6,3,3,3
CampusEventsAndEntertainmentCenter,com.team20.backend.controller,HistoryEventController,23,247,8,14,2,56,7,11,1,6
CampusEventsAndEntertainmentCenter,com.team20.backend.controller,ForumController,53,262,1,17,8,53,6,21,5,13
CampusEventsAndEntertainmentCenter,com.team20.backend.controller,MessageHistoryController,0,12,0,0,0,4,0,2,0,2
CampusEventsAndEntertainmentCenter,com.team20.backend.controller,PrivateMessageController,24,304,9,29,0,47,9,15,0,5
CampusEventsAndEntertainmentCenter,com.team20.backend.controller,ChatController,0,23,0,0,0,8,0,3,0,3
CampusEventsAndEntertainmentCenter,com.team20.backend.controller,UsersController,84,171,7,13,15,35,8,15,4,9
CampusEventsAndEntertainmentCenter,com.team20.backend.model.history,Comment,9,36,0,0,3,16,3,10,3,10
CampusEventsAndEntertainmentCenter,com.team20.backend.model.forum,UserLike,13,11,0,0,5,5,4,3,4,3
CampusEventsAndEntertainmentCenter,com.team20.backend.model.forum,TopicStar,3,14,0,0,1,6,1,4,1,4
CampusEventsAndEntertainmentCenter,com.team20.backend.model.forum,ForumTopic,19,33,0,0,7,15,6,9,6,9
CampusEventsAndEntertainmentCenter,com.team20.backend.model.forum,ForumReply,12,40,0,0,4,18,4,11,4,11
CampusEventsAndEntertainmentCenter,com.team20.backend,BackEndApplication,5,3,0,0,2,1,1,1,1,1
CampusEventsAndEntertainmentCenter,com.team20.backend.model.user,Follow,10,14,0,0,4,6,3,4,3,4
CampusEventsAndEntertainmentCenter,com.team20.backend.model.user,Users,0,38,0,0,0,16,0,11,0,11
CampusEventsAndEntertainmentCenter,com.team20.backend.model.user,Users.IdentityType,0,15,0,0,0,3,0,1,0,1
CampusEventsAndEntertainmentCenter,com.team20.backend.model.user,Avatar,6,25,0,0,2,11,2,7,2,7
CampusEventsAndEntertainmentCenter,com.team20.backend.service,EmailServiceImp,0,454,2,2,0,104,2,13,0,13
CampusEventsAndEntertainmentCenter,com.team20.backend.service,UserEventServiceImp,13,127,4,8,3,34,6,8,2,6
CampusEventsAndEntertainmentCenter,com.team20.backend.service,CommentServiceImp,34,192,7,13,9,47,7,9,0,6
CampusEventsAndEntertainmentCenter,com.team20.backend.service,FollowServiceImp,2,65,3,3,0,16,3,6,0,6
CampusEventsAndEntertainmentCenter,com.team20.backend.service,EventServiceImp,65,202,2,4,12,38,3,15,2,13
CampusEventsAndEntertainmentCenter,com.team20.backend.service,UsersServiceImp,0,74,0,8,0,22,0,10,0,6
CampusEventsAndEntertainmentCenter,com.team20.backend.service,AvatarServiceImp,0,61,0,4,0,13,0,10,0,8
CampusEventsAndEntertainmentCenter,com.team20.backend.service,VenueServiceImp,0,13,0,0,0,3,0,3,0,3
CampusEventsAndEntertainmentCenter,com.team20.backend.service,DTOServiceImp,107,32,2,0,17,5,10,3,9,3
CampusEventsAndEntertainmentCenter,com.team20.backend.service,ForumServiceImp,64,137,2,4,10,33,9,10,7,9
CampusEventsAndEntertainmentCenter,com.team20.backend.service,ReportServiceImp,0,57,0,0,0,17,0,6,0,6
CampusEventsAndEntertainmentCenter,com.team20.backend.util,JwtUtils,109,50,0,0,50,13,5,4,5,4
